"","sexe","situation","the","cafe","taille","poids","age","viande","poisson","fruit_crus","fruit_legume_cuits","chocol","matgras"
"28","Homme","Vit en couple",4,5,"172",80,68,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Olive"
"29","Femme","Vit seul",1,1,"165",75,69,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Arachide"
"30","Homme","Vit en couple",0,2,"171",81,71,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Arachide"
"31","Femme","Vit en couple",0,1,"160",54,67,"4/6 1 fois/sem","4/6 1 fois/sem","Tous les jours","2/3 fois/sem","1 fois/sem","Tournesol"
"32","Homme","Vit en couple",0,3,"176",82,76,"2/3 fois/sem","2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Isio4"
"33","Homme","Vit en couple",0,3,"164",53,69,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Olive"
"34","Femme","Vit en couple",1,2,"156",58,67,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Arachide"
"35","Femme","Vit seul",0,2,"153",70,69,"Tous les jours","Jamais","Tous les jours","Tous les jours","2/3 fois/sem","Olive"
"36","Homme","Vit en couple",1,0,"159",70,85,"2/3 fois/sem","<1 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Beurre"
"37","Homme","Vit en couple",0,5,"170",60,74,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Beurre"
"38","Homme","Vit dans sa famille",0,0,"178",87,78,"2/3 fois/sem","1 fois/sem","4/6 1 fois/sem","2/3 fois/sem","1 fois/sem","Beurre"
"39","Homme","Vit en couple",1,2,"172",86,73,"1 fois/sem","Tous les jours","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"40","Homme","Vit en couple",0,3,"186",95,74,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"41","Femme","Vit en couple",0,3,"168",77,69,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"42","Homme","Vit seul",0,0,"181",94,71,"2/3 fois/sem","1 fois/sem","Tous les jours","2/3 fois/sem","Tous les jours","Olive"
"43","Homme","Vit seul",0,1,"172",62,85,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Olive"
"44","Homme","Vit en couple",0,0,"160",55,70,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Margarine"
"45","Femme","Vit en couple",0,0,"155",50,73,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","Jamais","Arachide"
"46","Homme","Vit en couple",0,1,"172",81,74,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","Jamais","Arachide"
"47","Femme","Vit en couple",0,2,"160",62,77,"2/3 fois/sem","1 fois/sem","2/3 fois/sem","Tous les jours","Jamais","Tournesol"
"48","Femme","Vit seul",0,1,"158",51,69,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"49","Femme","Vit seul",0,2,"160",49,76,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Tournesol"
"50","Femme","Vit seul",0,0,"164",70,79,"2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Jamais","Olive"
"51","Femme","Vit en couple",0,3,"153",60,65,"2/3 fois/sem","2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","2/3 fois/sem","Tournesol"
"52","Homme","Vit en couple",0,4,"169",68,66,"2/3 fois/sem","2/3 fois/sem","<1 fois/sem","4/6 1 fois/sem","<1 fois/sem","Tournesol"
"53","Femme","Vit seul",2,1,"165",65,85,"Tous les jours","Tous les jours","Tous les jours","Tous les jours","2/3 fois/sem","Olive"
"54","Homme","Vit seul",0,2,"166",66,90,"2/3 fois/sem","1 fois/sem","Tous les jours","2/3 fois/sem","Jamais","Arachide"
"55","Homme","Vit seul",0,3,"176",85,75,"Tous les jours","Tous les jours","Tous les jours","1 fois/sem","Jamais","Margarine"
"56","Homme","Vit en couple",0,2,"180",79,78,"<1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Beurre"
"57","Homme","Vit seul",0,2,"174",75,87,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Beurre"
"58","Femme","Vit seul",0,2,"160",60,88,"2/3 fois/sem","<1 fois/sem","Tous les jours","2/3 fois/sem","Jamais","Arachide"
"59","Femme","Vit seul",0,1,"160",67,89,"2/3 fois/sem","4/6 1 fois/sem","2/3 fois/sem","Tous les jours","<1 fois/sem","Tournesol"
"60","Homme","Vit en couple",0,0,"188",82,70,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Jamais","Arachide"
"61","Femme","Vit en couple",2,0,"160",83,71,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","2/3 fois/sem","Isio4"
"62","Homme","Vit en couple",0,2,"179",67,76,"Tous les jours","1 fois/sem","Tous les jours","2/3 fois/sem","2/3 fois/sem","Margarine"
"63","Femme","Vit en couple",2,1,"157",57,72,"Tous les jours","1 fois/sem","<1 fois/sem","Tous les jours","Tous les jours","Tournesol"
"64","Homme","Vit en couple",0,2,"188",96,88,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Margarine"
"65","Homme","Vit seul",0,3,"174",74,68,"2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tous les jours","Olive"
"66","Homme","Vit seul",0,2,"173",75,72,"Tous les jours","2/3 fois/sem","Tous les jours","2/3 fois/sem","Tous les jours","Beurre"
"67","Femme","Vit seul",0,3,"160",60,78,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","2/3 fois/sem","<1 fois/sem","Isio4"
"68","Femme","Vit seul",0,2,"150",55,67,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Jamais","Arachide"
"69","Homme","Vit en couple",4,1,"170",76,76,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","<1 fois/sem","Tournesol"
"70","Homme","Vit en couple",0,3,"180",90,68,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"71","Femme","Vit en couple",0,2,"152",60,69,"Tous les jours","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","<1 fois/sem","Tournesol"
"72","Homme","Vit en couple",0,3,"162",74,67,"Tous les jours","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","1 fois/sem","Tournesol"
"73","Femme","Vit en couple",1,2,"152",64,66,"Tous les jours","2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Arachide"
"74","Homme","Vit en couple",0,2,"165",90,79,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Olive"
"75","Femme","Vit en couple",0,0,"154",42,78,"2/3 fois/sem","1 fois/sem","1 fois/sem","Tous les jours","<1 fois/sem","Olive"
"76","Homme","Vit en couple",0,1,"173",80,74,"2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Olive"
"77","Femme","Vit en couple",0,5,"153",59,71,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Olive"
"78","Femme","Vit en couple",0,1,"175",50,77,"2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","4/6 1 fois/sem","Margarine"
"79","Homme","Vit en couple",0,0,"177",63,78,"2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Jamais","Margarine"
"80","Homme","Vit en couple",0,3,"172",79,78,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"81","Femme","Vit en couple",4,1,"167",70,75,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"82","Femme","Vit en couple",0,2,"155",52,67,"2/3 fois/sem","<1 fois/sem","Tous les jours","4/6 1 fois/sem","Jamais","Tournesol"
"83","Femme","Vit seul",0,0,"162",58,74,"2/3 fois/sem","1 fois/sem","<1 fois/sem","Tous les jours","Jamais","Tournesol"
"84","Femme","Vit seul",0,2,"156",54,76,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Tournesol"
"85","Femme","Vit seul",2,0,"152",44,73,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Jamais","Tous les jours","Margarine"
"86","Femme","Vit seul",3,0,"156",58,72,"2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Jamais","Olive"
"87","Femme","Vit en couple",0,2,"160",62,78,"2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","4/6 1 fois/sem","Tournesol"
"88","Homme","Vit en couple",0,2,"170",69,84,"2/3 fois/sem","Jamais","4/6 1 fois/sem","Tous les jours","Jamais","Tournesol"
"89","Femme","Vit en couple",4,0,"164",80,65,"2/3 fois/sem","1 fois/sem","2/3 fois/sem","2/3 fois/sem","<1 fois/sem","Olive"
"90","Femme","Vit seul",2,0,"160",53,71,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Arachide"
"91","Homme","Vit en couple",0,0,"175",75,70,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Arachide"
"92","Femme","Vit seul",0,2,"161",56,71,"4/6 1 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Margarine"
"93","Femme","Vit en couple",0,2,"168",70,69,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Margarine"
"94","Homme","Vit en couple",0,2,"175",85,77,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Margarine"
"95","Homme","Vit seul",0,2,"186",85,74,"1 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Jamais","Olive"
"96","Homme","Vit en couple",0,2,"176",75,86,"4/6 1 fois/sem","1 fois/sem","4/6 1 fois/sem","Tous les jours","Jamais","Tournesol"
"97","Femme","Vit en couple",0,2,"158",73,79,"4/6 1 fois/sem","1 fois/sem","4/6 1 fois/sem","Tous les jours","Jamais","Tournesol"
"98","Femme","Vit seul",0,4,"167",69,71,"Tous les jours","4/6 1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Olive"
"99","Homme","Vit en couple",3,0,"186",63,72,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","4/6 1 fois/sem","Arachide"
"100","Femme","Vit en couple",3,0,"165",67,70,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Arachide"
"101","Femme","Vit en couple",0,2,"168",69,66,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Beurre"
"102","Femme","Vit seul",0,2,"156",57,68,"4/6 1 fois/sem","1 fois/sem","4/6 1 fois/sem","4/6 1 fois/sem","2/3 fois/sem","Margarine"
"103","Femme","Vit seul",0,0,"164",90,68,"2/3 fois/sem","1 fois/sem","2/3 fois/sem","1 fois/sem","<1 fois/sem","Tournesol"
"104","Femme","Vit seul",1,1,"163",45,74,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Isio4"
"105","Homme","Vit seul",0,0,"170",77,72,"4/6 1 fois/sem","4/6 1 fois/sem","Tous les jours","<1 fois/sem","Tous les jours","Tournesol"
"106","Homme","Vit seul",0,0,"172",74,73,"4/6 1 fois/sem","<1 fois/sem","Tous les jours","2/3 fois/sem","Tous les jours","Tournesol"
"107","Femme","Vit seul",4,0,"162",51,78,"Tous les jours","<1 fois/sem","Tous les jours","4/6 1 fois/sem","Tous les jours","Tournesol"
"108","Femme","Vit seul",2,1,"163",75,89,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Margarine"
"109","Homme","Vit en couple",0,2,"178",80,67,"Tous les jours","2/3 fois/sem","1 fois/sem","2/3 fois/sem","2/3 fois/sem","Tournesol"
"110","Femme","Vit seul",0,2,"148",50,87,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"111","Femme","Vit en couple",2,0,"155",71,81,"Tous les jours","1 fois/sem","<1 fois/sem","Tous les jours","<1 fois/sem","Tournesol"
"112","Homme","Vit en couple",2,0,"168",65,70,"Tous les jours","1 fois/sem","<1 fois/sem","Tous les jours","<1 fois/sem","Tournesol"
"113","Femme","Vit seul",0,0,"165",60,77,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"114","Homme","Vit en couple",0,0,"163",71,86,"4/6 1 fois/sem","1 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Arachide"
"115","Femme","Vit en couple",0,0,"154",50,78,"4/6 1 fois/sem","1 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Arachide"
"116","Femme","Vit seul",0,1,"163",61,70,"Tous les jours","<1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","Tournesol"
"117","Femme","Vit en couple",9,0,"159",68,74,"4/6 1 fois/sem","2/3 fois/sem","1 fois/sem","Tous les jours","Jamais","Colza"
"118","Homme","Vit en couple",2,1,"181",76,78,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Olive"
"119","Femme","Vit en couple",4,1,"154",53,76,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Olive"
"120","Homme","Vit en couple",0,2,"172",75,76,"2/3 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Olive"
"121","Femme","Vit en couple",2,0,"163",58,67,"1 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Olive"
"122","Femme","Vit seul",1,1,"158",42,67,"<1 fois/sem","1 fois/sem","Tous les jours","1 fois/sem","Tous les jours","Arachide"
"123","Femme","Vit seul",0,3,"150",56,77,"4/6 1 fois/sem","1 fois/sem","1 fois/sem","Tous les jours","Jamais","Arachide"
"124","Femme","Vit seul",0,2,"153",48,72,"2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","4/6 1 fois/sem","4/6 1 fois/sem","Tournesol"
"125","Homme","Vit en couple",0,1,"170",55,74,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Beurre"
"126","Femme","Vit en couple",2,3,"164",54,75,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Margarine"
"127","Homme","Vit en couple",2,3,"165",64,78,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Margarine"
"128","Femme","Vit seul",0,2,"151",38,66,"4/6 1 fois/sem","4/6 1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Margarine"
"129","Homme","Vit en couple",0,1,"172",78,84,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"130","Femme","Vit en couple",0,2,"153",64,82,"2/3 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"131","Homme","Vit seul",0,1,"173",75,80,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","1 fois/sem","Olive"
"132","Homme","Vit en couple",0,3,"188",75,75,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"133","Femme","Vit en couple",0,3,"160",58,69,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"134","Homme","Vit en couple",0,3,"174",73,69,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"135","Femme","Vit en couple",0,2,"150",40,70,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"136","Femme","Vit seul",0,2,"168",63,69,"2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Tous les jours","<1 fois/sem","Arachide"
"137","Femme","Vit en couple",2,1,"162",55,65,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"138","Femme","Vit seul",10,1,"158",63,75,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"139","Femme","Vit seul",0,2,"140",56,84,"2/3 fois/sem","<1 fois/sem","2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","Arachide"
"140","Homme","Vit seul",0,3,"172",74,81,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Margarine"
"141","Femme","Vit seul",1,0,"156",54,79,"2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Jamais","Olive"
"142","Femme","Vit dans sa famille",0,0,"160",60,76,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","1 fois/sem","1 fois/sem","Tournesol"
"143","Homme","Vit en couple",0,3,"170",75,71,"4/6 1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Arachide"
"144","Femme","Vit en couple",2,0,"165",69,77,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"145","Homme","Vit en couple",0,3,"163",70,70,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","1 fois/sem","Arachide"
"146","Femme","Vit en couple",0,3,"160",50,70,"2/3 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"147","Homme","Vit en couple",0,3,"165",75,73,"2/3 fois/sem","1 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Arachide"
"148","Femme","Vit en couple",0,3,"156",53,71,"Tous les jours","<1 fois/sem","Tous les jours","Tous les jours","Jamais","Tournesol"
"149","Homme","Vit en couple",0,2,"178",82,76,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tournesol"
"150","Femme","Vit en couple",0,4,"160",75,69,"4/6 1 fois/sem","1 fois/sem","1 fois/sem","Tous les jours","<1 fois/sem","Arachide"
"151","Femme","Vit seul",0,3,"171",72,75,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Margarine"
"152","Femme","Vit dans sa famille",0,1,"156",64,80,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Beurre"
"153","Femme","Vit seul",0,3,"150",60,76,"2/3 fois/sem","2/3 fois/sem","Tous les jours","2/3 fois/sem","<1 fois/sem","Isio4"
"154","Femme","Vit seul",0,4,"162",53,65,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Tous les jours","Margarine"
"155","Femme","Vit en couple",3,0,"164",67,67,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Isio4"
"156","Homme","Vit en couple",0,2,"178",66,70,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Isio4"
"157","Femme","Vit en couple",1,2,"166",55,76,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Beurre"
"158","Femme","Vit seul",0,3,"151",60,72,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"159","Homme","Vit en couple",0,2,"169",74,77,"2/3 fois/sem","1 fois/sem","Tous les jours","1 fois/sem","1 fois/sem","Tournesol"
"160","Femme","Vit en couple",0,0,"155",45,73,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Margarine"
"161","Homme","Vit seul",0,1,"176",75,77,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Olive"
"162","Homme","Vit seul",0,5,"171",74,70,"Tous les jours","1 fois/sem","Jamais","2/3 fois/sem","1 fois/sem","Beurre"
"163","Femme","Vit dans sa famille",0,3,"165",75,73,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Tournesol"
"164","Homme","Vit en couple",4,0,"176",82,66,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Olive"
"165","Femme","Vit seul",1,1,"158",55,85,"2/3 fois/sem","2/3 fois/sem","2/3 fois/sem","4/6 1 fois/sem","2/3 fois/sem","Arachide"
"166","Femme","Vit seul",0,3,"153",69,72,"2/3 fois/sem","2/3 fois/sem","<1 fois/sem","4/6 1 fois/sem","1 fois/sem","Olive"
"167","Femme","Vit seul",0,2,"155",64,78,"1 fois/sem","Jamais","Tous les jours","2/3 fois/sem","Jamais","Arachide"
"168","Femme","Vit seul",0,2,"155",65,82,"4/6 1 fois/sem","4/6 1 fois/sem","Tous les jours","<1 fois/sem","Jamais","Isio4"
"169","Femme","Vit seul",0,0,"169",60,75,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","1 fois/sem","Isio4"
"170","Femme","Vit seul",2,0,"148",60,73,"2/3 fois/sem","<1 fois/sem","2/3 fois/sem","4/6 1 fois/sem","2/3 fois/sem","Tournesol"
"171","Femme","Vit seul",0,0,"156",52,72,"4/6 1 fois/sem","1 fois/sem","Jamais","Tous les jours","Tous les jours","Tournesol"
"172","Homme","Vit dans sa famille",0,2,"166",92,79,"Tous les jours","1 fois/sem","Tous les jours","Tous les jours","Jamais","Canard ou oie"
"173","Femme","Vit seul",0,5,"155",57,69,"1 fois/sem","<1 fois/sem","1 fois/sem","4/6 1 fois/sem","Tous les jours","Tournesol"
"174","Femme","Vit dans sa famille",2,1,"154",78,66,"4/6 1 fois/sem","2/3 fois/sem","2/3 fois/sem","Tous les jours","Jamais","Tournesol"
"175","Homme","Vit seul",0,3,"164",78,75,"2/3 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Olive"
"176","Homme","Vit en couple",0,2,"175",56,75,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","<1 fois/sem","Canard ou oie"
"177","Femme","Vit en couple",0,2,"162",71,73,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Canard ou oie"
"178","Femme","Vit en couple",0,1,"158",65,69,"1 fois/sem","1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Arachide"
"179","Femme","Vit en couple",0,3,"154",51,76,"4/6 1 fois/sem","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Tournesol"
"180","Femme","Vit seul",0,2,"160",70,72,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Arachide"
"181","Femme","Vit seul",0,2,"163",72,72,"Tous les jours","2/3 fois/sem","Tous les jours","Tous les jours","Jamais","Arachide"
"182","Femme","Vit en couple",0,1,"152",53,78,"2/3 fois/sem","1 fois/sem","Tous les jours","Tous les jours","2/3 fois/sem","Tournesol"
"183","Femme","Vit seul",0,1,"163",62,68,"2/3 fois/sem","2/3 fois/sem","2/3 fois/sem","Tous les jours","Jamais","Isio4"
"184","Femme","Vit seul",3,1,"170",61,83,"<1 fois/sem","Tous les jours","Tous les jours","Tous les jours","Tous les jours","Olive"
"185","Homme","Vit en couple",0,1,"182",74,75,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","1 fois/sem","Isio4"
"186","Femme","Vit en couple",2,1,"163",68,70,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","1 fois/sem","Isio4"
"187","Homme","Vit en couple",0,2,"170",75,74,"2/3 fois/sem","2/3 fois/sem","Tous les jours","4/6 1 fois/sem","<1 fois/sem","Margarine"
