GSE21749_P_WT_1 GSE21749_P_WT_2 GSE4193_P_WT_1b GSE4193_P_WT_2 GSE21749_R_WT_1 GSE21749_R_WT_2 GSE4193_R_WT_1 GSE4193_R_WT_2
lrp2bp 5.8092481308878 5.53215431735822 5.84190087631741 5.38798739474515 11.114952870255 11.1209303750213 10.3359078813518 10.1353559394588
speer4b 5.47218931609147 5.39833715519182 5.33710603055033 5.10294020982123 10.5488801058734 10.540651879055 10.0301164276908 9.85405120988682
erich3 7.5540252629821 6.7751411059288 7.4353188003716 6.83503606147038 12.1692998198175 12.1980080456706 12.0132739683222 11.7445358671806
fhl5 8.52053260559892 8.0601574701332 8.0660165770767 7.82598154762588 12.8419231825706 13.018611922079 12.4449427201967 12.8185502032702
ay702102 7.09726932704683 6.37105375050769 5.96692005492757 5.72956082256483 11.8551061276501 11.8860623084063 10.749484740597 10.6572063446795
izumo3 8.17796979667557 7.62789349419854 7.80959252566239 7.1207487116409 12.7388770979443 12.7978465150343 12.1711758399023 12.4371221069416
scp2d1 8.91747671583015 8.48828886476554 8.41541941506891 8.10838251410675 13.3708552581467 13.4830223607887 12.9599200791313 13.16680086956
tmco2 9.18122085443235 8.64515561446318 8.70450176764098 8.40153151052172 13.5037414283889 13.526971148105 13.0684452190035 13.4131797195266
fam71d 7.87886554529557 7.3313639389044 8.21543611172766 7.77429802332195 12.4682706576557 12.5427847091348 12.7400762782437 12.6905593544109
bc061194 7.83383772755644 6.93539404516454 7.86642343519605 6.90297819282804 12.3266779431924 12.341918437528 12.2929003064862 12.3123259683237
astx 7.86052120176438 7.26056237156535 8.26064925227769 7.23992686847236 12.497739075681 12.3701310062202 12.1148397710842 12.5188454775999
aif1 8.07205585443158 7.59551863503009 7.74866456889287 7.07438497068293 12.404084048723 12.3856431956322 12.1415394088136 12.4617809825728
atp10a 5.20453221717994 4.84786515928452 5.54831676236569 4.99513616783942 10.0944549512999 10.1894977407193 9.74252566095073 8.8778074786044
lyzl6 6.60662435997721 5.86866298988073 5.55994055030829 5.26753062416936 11.2261445652624 11.0656587666393 10.1283724540347 10.2699548146528
rnf133 7.44605079982691 7.00251841797726 6.83591412741642 6.43750103607472 11.9588102034816 12.0453774744026 11.2323168944473 11.5054091214706
chn2 8.20559728179078 7.67907382947293 7.3111271673231 6.88308210654026 12.5282500777093 12.5413415958001 11.8270516489129 12.1452312121626
odf3 8.81264525401918 8.14788517928351 8.30908738216341 7.3408764083422 13.2502348533706 13.1338522950396 12.8336187278 12.622919423458
efcab12 5.49322126282436 5.16532574195753 5.63213696520563 5.3288654608707 10.747681517096 10.4819722023808 9.95888648622455 9.76702232086383
ubqln3 7.97181908829972 7.05966147619058 8.26753477397601 7.15169699599354 12.3882488135682 12.2938411706279 12.6948380805129 12.4003543133381
tbc1d21 7.93752987002289 7.3999756036926 7.56871108693839 6.99699248284227 12.4996524848096 12.4364139595453 11.9081129829623 12.0521740007997
gm4787 7.60949908839455 6.91399899934579 7.42361018545939 6.97843420396714 12.1652557576062 12.2338131400497 11.8498297657075 11.5660203043544
cabyr 8.45074334445438 8.14854655541704 9.3810782185283 8.54687723983969 13.0951202734534 12.8945365303282 13.5200144959884 13.2512343149672
ccdc81 7.04676866634414 6.55537699311835 6.88767398852805 5.95407305470047 11.5298307091705 11.5206287547776 11.3600707553752 10.6735769912694
mroh9 6.56262635927254 6.0535662690226 6.2177063671047 5.65062229050736 11.1144014193686 11.0364310120354 10.6804389380866 10.4176803106478
zp3r 8.05324405460028 7.45785606214774 7.56469331673775 6.936723400961 12.4986299526611 12.5106528085124 12.0046419425836 11.6525373971506
fancd2os 7.0335779123117 6.25713566056912 6.56632366399253 6.1239425625568 11.5660452111524 11.4952452147055 10.9387878210726 10.8855225191949
fam183b 7.83437935344038 7.37474600575955 7.20683888052287 7.2228457858498 12.4255363580724 12.4233805531677 11.3015226956964 11.7534463901753
tnp2 10.0900292082033 9.43023095773402 9.39291293745588 9.69466946195721 14.230192949624 14.2061916245969 13.8482491928455 14.3765771014208
speer4a 6.7678975654321 6.26453286601085 6.87161603435734 6.4889628553682 11.0931821382258 10.9409949758633 11.7871186518753 11.7824072065601
gm14590 8.8786942357879 8.13281684388461 8.62515810638777 7.96758878153306 13.0468550759123 12.9917185450067 13.1156407911434 13.1416826248184
capza3 8.4517718752997 7.79793263237122 7.7141655076259 7.38538792892359 12.8166237518365 12.8883912387645 12.0486996832165 12.1725841376703
ddi1 7.88751473400781 7.24190567781551 7.84669477382242 7.48667737056071 12.357586507619 12.3567532271326 12.1090189676007 12.2902243794183
lrrc18 6.66454880622728 5.9128703460345 6.44665438527336 5.90922505153056 11.3849688980974 11.4777877376149 10.675924839755 10.6352514489228
tspan6 7.71148877245687 7.18724870100222 6.89998926214891 6.61342455884748 11.9250356418783 11.8925836151164 11.5742577499974 11.543192194961
calr3 6.56519596540974 5.93441712083377 5.58427929960283 5.43814287176806 11.0110772688551 11.0516972593768 10.1633022535152 10.1755313865632
ttll10 6.99447829205036 6.28951961396937 7.62880492272147 7.34417045525762 11.7511602771894 11.2956747057479 11.8940488433193 11.900945179512
triml1 5.80504678549316 5.45374317888635 6.01349016028824 5.65624773290781 10.2664360205751 10.6421787321971 10.3689696385764 10.0304381205376
lpcat2b 7.532033712228 6.99349330793144 7.87437744815703 6.98889872761426 11.9896408879912 12.0241174862569 11.8901086363363 11.888768500581
adam26a 6.95802505952002 6.7368987249473 6.40895914717995 6.10747810668998 11.1753262749027 11.2675462962176 11.1688387364151 10.9107036195133
spata19 9.14302712495821 8.53261308872142 7.81199079981961 7.97064271540355 13.5579480215871 13.6055165905631 12.0579318774746 12.675486007818
acrv1 8.37263160363653 7.71586486480042 8.50454275353057 7.95138901273874 12.8483776549934 12.8334534267459 12.7476343803925 12.6974119737655
fam71b 6.93983712190337 6.13688302643939 6.89944692188008 6.81763451251772 11.5689290543261 11.657967824071 11.3077740819792 10.9683787350753
lrrc72 6.80600655582904 6.05555363959019 6.94317963238289 6.60645770769495 11.4855808722164 11.4735281842 11.1746240636387 11.0811648138584
tgif2lx1 7.16317754783237 6.47614300647781 6.30315310188278 5.88844345693212 11.6614558500675 11.7813380913817 10.6658053400527 10.6800134669929
kif2b 8.48137384022707 7.68154900663145 8.90487081712802 8.14501608832532 12.9765331073923 12.7859066330994 13.1929247141647 12.8548739039501
hsfy2 8.14609668998093 7.54729303289333 7.98433551975311 7.13957655854053 12.6752074019676 12.7139514773381 12.2411846141052 12.1061334118103
cypt1 8.32913622914386 7.75898215581148 7.06984468593881 6.89814303054446 12.8176542543376 12.9211875070159 11.1946796209047 11.790291377854
allc 8.36653178030256 7.87446107840719 8.53403050944937 8.39503081683508 13.0324021032282 12.8028972872507 12.7220069213693 12.9020661229273
slc22a14 8.2356315001645 7.87604393348313 8.8810477265662 8.31194508458704 12.8542994694557 12.6567970161695 12.980132179587 12.689604152138
hyal5 7.4609800611871 7.07450514798921 7.65211958611336 6.6756139716006 12.076721849831 12.1136344057699 11.6967625707587 11.7088512536615
dusp13 8.46325163587901 8.02728219962844 8.57729391741808 8.42674890945824 13.089299085748 12.8140978992659 12.7519005442597 13.1428497485986
ftmt 7.72285384508264 7.32738684915021 8.38100933476125 7.48500070179136 12.0335192361133 12.0777552668395 12.5097327628521 12.097643457793
tssk3 8.03946462058745 7.40550468426863 7.50477984729592 7.09892102187362 12.0939216976431 12.1040129292525 11.7663581566507 11.8313040668876
h2afb1 7.95738035515873 7.59581573974509 7.38991409466704 7.57171199486965 11.9894834278592 12.0501924474401 10.9833356065588 12.1560831946842
asb17 8.05525134504428 7.61401720345504 7.97726050927793 7.39062711886093 12.5012453461745 12.553325806339 12.2346455381123 12.1564516219719
galntl5 8.43441825835605 7.86839624814838 8.43533605594211 8.01751275832335 12.6042532983231 12.6458444069927 13.0166444108434 13.028536151775
ccdc54 7.53745567891995 6.90201538446424 7.61369461515364 7.15786568216786 11.9082630184695 11.8304619794703 11.9659651923636 11.7150797773582
ssxb1 6.97399575252998 6.43993233205029 5.85657329961302 6.1704241672911 11.4077387274405 11.6000615506056 9.93474242993661 10.5671113914367
arrdc5 8.68481718191139 8.0546258287647 8.27156911825254 7.69024499745606 12.9674450252146 12.9302307884243 12.4131208211496 12.5169464210865
gm10471 5.82215803870848 5.64644961221175 5.94735702553241 5.31877780205269 10.7273763124431 10.6678331272518 10.0113368471849 9.89482167337145
chl1 8.44729825360517 7.87442298572102 8.53374375195271 7.43840849927367 12.7490769835608 12.6587885182351 12.9113270843686 12.683337557983
iqcf5 7.967244509653 7.39280679314719 7.02696992843223 7.3245655541342 12.2049789772619 12.1687411308913 11.2690036198544 11.6364695351127
usp50 7.78377832799324 7.40047514715752 7.56037901616678 7.40237932456289 12.269900623535 12.2780493772401 11.5806105923177 11.7746781284402
tex43 9.23848125078537 8.50377919252035 8.37322375489542 8.22061020118021 13.3854223330171 13.379951681004 11.9802162738702 12.6681737416446
bc048671 7.30447187869978 6.69378942118466 7.74082572941118 7.38053964431203 11.9313720231082 11.6688785325877 12.0122935156263 11.6492108342069
h1fnt 8.37817931698106 7.87236313811462 7.93642892094785 7.50009437108527 12.5037059646524 12.3066783890811 12.2883877431802 12.0859170550097
adam24 7.7115376301864 6.96317488206169 7.60053062659444 6.82787409508563 11.9526677054689 11.9513932552228 11.7667748808066 11.6749971752361
tex36 8.96915566481049 8.4893190992768 8.353167225868 7.82662814763691 13.303461039385 13.2621670794103 12.4643966496184 12.6817114748524
hspa1l 7.97996420959614 7.53422444342825 7.03167188941625 7.21186604093086 11.9505777393366 11.9424629799197 11.7730328888228 11.7484257790764
cylc2 5.29247367733868 4.86452452489884 4.88668379530259 4.8751725024121 9.25336990891741 9.24001120587382 9.26189929080013 8.14876272106344
hmgb4 9.33080087806193 8.86138058042252 7.98719280285587 7.86462044739492 13.7060968505105 13.7078116787051 12.4084620138068 12.7638790940788
mfap3l 7.83675044476626 7.56155416310125 7.94061433448336 7.42959276497428 12.1467843791781 12.1061628042412 12.2001046333333 12.0326565619153
cylc1 5.0712569946336 4.6193264716691 4.55260743954909 4.29321470745417 9.57794300738421 9.70044274214203 8.73886142985268 8.24454225270909
fam154a 6.86759685081 6.67636802127099 7.67100137231106 6.75225270231737 11.2529711467295 11.1576433822963 11.412394812077 11.1047630521496
stat4 8.33335831212522 7.69371847393684 8.38903086098151 7.56735645448008 12.7117853158617 12.6643657372243 12.4666199896405 12.1974127320449
gstt4 8.56523634447675 8.16265533094321 8.10372322030938 8.09547578549551 12.6589055322678 12.6212850064549 12.1034327809178 12.4312265342447
actrt2 8.40540025683721 7.96648811466161 8.30143585856962 8.06769216504182 12.6988913802506 12.6785628781463 12.0334197774613 12.5373042462269
gtsf1l 9.30837700692947 8.79213284590044 9.48479799018429 8.89792733933433 13.6198062114399 13.5865727195041 13.2042075388337 13.510790706961
tssk2 9.01868129183651 8.47605569367486 8.89682614070232 8.56010275264555 13.3282399830523 13.2743957695117 13.0460913553281 13.0863515413673
nt5c1b 8.84536525166489 8.17898814045353 9.20402812441955 8.82650221646471 13.1105325619511 13.0877654436884 13.3386821327838 13.3001484661083
tmco5 8.60679648363813 7.94790864843298 8.53061658471584 7.88417467675611 13.0283941671778 12.919935948253 12.5690553566194 12.621839053776
gm14781 5.90795834056021 5.86047938546055 6.21971579438121 5.97383778548438 10.6630739831774 10.7436280298076 9.84632999261708 10.1359777450434
klhl10 9.11697788232825 8.47371742360016 9.12419522145066 8.56459353840514 13.3046118619536 13.2811759044638 13.3895447553478 13.2824313699466
ica1 6.95715658058859 6.43673439380067 6.50046543610835 6.89235659045687 11.357063426623 11.4095719964368 10.9674501566945 11.0102972149088
fam217a 8.00223752214628 7.69077344144165 8.21837530434303 7.17106298331603 12.3617440515418 12.2918096065639 12.2038405763928 11.9676037960621
iqca 6.36684828235265 6.22342490653445 6.5562086886353 6.3044350377827 10.8832593214021 10.9936681076347 10.5755118779404 10.2201084372788
ankrd61 8.13548510189236 7.78483604207229 8.31906726068945 7.590963748805 12.5237329779794 12.5188448247743 12.2897889341939 11.9235533877742
tssk4 8.16559132901596 7.48230938434754 8.62229794399158 7.9429728160103 12.5336563020286 12.5153758416537 12.362771332207 12.1707518373943
zdhhc11 7.41274908304157 7.08233024784076 7.80242289838737 7.29288716411947 11.8537487221499 11.9228682095577 11.6099145742673 11.2173782216694
frmd4b 4.76195165527797 4.94709466270241 4.81447514907918 5.30914138489574 9.67379624307792 9.78637855664575 9.04332929986986 8.77323090478703
dpysl3 9.18929833907864 8.67644971889321 9.52676380781541 8.96783154498285 13.3726537617316 13.4340037923703 13.5742718202976 13.4127112876375
ccer1 8.99941485196913 8.48354959189744 9.36235913192545 8.43318091140086 13.1346423017756 13.0151794997371 13.4849512858351 13.2119474855839
erich6 7.65729397914681 7.09660681243521 7.39216031860599 6.98796307718911 11.9406294281055 12.0256244999131 11.4829247864144 11.1963626446714
oxct2a 8.07612892738621 7.28527911019322 7.31180841812733 7.79735089566635 12.0843329196505 11.910856410822 11.4550366370825 12.1780070333631
cabs1 8.07093120369068 7.83156617510335 7.54850708324715 7.53396504819519 12.0284609379141 12.0695497722404 11.6578980639763 12.2057923948933
fam71e1 9.12590592043201 8.78504102045011 8.78906685023499 8.50798463269285 13.2477006367348 13.1064759824386 12.7489038913987 13.0496564109472
tmem190 7.53116323688063 7.08960026514148 7.64307334304601 7.32250577614062 12.0646128829822 11.8157100504129 11.7308285770651 11.6603648977054
lyzl1 8.16505918176302 7.59230409114508 8.06738306747631 8.01114583878882 12.6386562952747 12.5804968786149 11.9348833500147 12.2406097674049
dnajc5b 8.96012168619021 8.28128041073225 8.62956902620479 8.16453978250163 13.1756754408747 13.1656856877955 12.5489919949146 12.6971686931084
acsl1 8.46881926420961 7.96301486183118 8.45813982004079 7.90868053590626 12.5996257131644 12.5994487001273 12.6470981567839 12.6208382985333
cst8 7.67659752471113 7.20155062423487 7.12375159533277 7.28822471276482 11.9685907033036 12.0684211956798 10.7999042706547 11.393122257143
tex29 8.36103035949643 7.73767120935736 8.60222162498673 7.79674865625479 12.7122545906683 12.7939939908867 12.4080658356121 12.3911134634323
galntl6 4.7932756958029 5.01792504349957 9.03439982639734 9.86254764442314 4.71929235671226 4.72547943171962 9.04684374785808 8.01903820118203
adam1a 8.38366695933632 7.837629145353 8.33865091047138 8.1935347265542 12.6468158402583 12.5705490124027 12.551150115099 12.1263690220272
armc12 8.04617280982803 7.51744207204605 8.45046632137194 8.05950891651746 12.3264539747914 12.2991656660364 12.0705144242418 12.4139380160559
lyzl4 7.52200139951699 6.99849998493563 6.76965191780695 6.70030094322297 11.9292855221314 11.8466702440367 10.711369475584 10.9673112833736
spaca3 8.76875645604576 8.3823111038582 8.59506783424482 8.55073053401324 12.9788547354478 12.9586369467967 12.5664707380329 12.7864433359432
akap4 9.40781831739565 8.89204421950168 9.35839365114639 8.7264220499628 13.4761210518644 13.4784488682249 13.5306197842373 13.5083812968168
lemd1 6.95514343100805 6.43801529254776 6.08711164768379 5.55767793342276 11.0224864646568 11.0472043806249 10.4499268116754 10.3761037553567
sox5 5.70583835275435 5.65337906486373 5.95673034719081 4.84828970302633 9.95338171606585 10.0416630165137 9.9277175088201 9.4985708887431
adam6a 6.92874517787146 6.26152857255897 6.93862845020789 6.36923450914299 11.1490245365966 11.3426421257986 10.9871452663873 10.6979641089894
efcab9 8.60131043762385 8.03358026706575 8.64988661716135 8.3995896519839 12.9105881838431 12.9403435658471 12.5569277555105 12.7466774118134
rbms1 7.64371977694462 7.1928450460964 8.0022911000814 7.54593583364666 12.0137151503415 12.0103116172117 11.8020236739463 11.601526939342
iqcf1 7.61796730824383 7.07980218144049 6.3739364363698 6.67728710601114 11.9176301215735 11.9464627583076 10.4655424823635 10.9771741178999
gm9999 9.86437779705791 9.20685674754906 8.84004361208568 8.99538293754378 14.0056177899941 13.8929274035303 12.9319156841786 13.2073654270628
apobec4 7.42048538370073 6.73656486937323 7.63181343540958 6.69371374508465 11.8482051286787 11.9077582630473 11.3483875245184 11.2927412443718
pyhin1 6.684597934395 6.65889685721749 5.83626173110569 5.69135321099464 11.8795605724192 11.958224700784 9.15330884693377 10.2760141730733
prss54 7.65197936988497 7.3476327431352 8.0361292695187 7.54323955862973 11.9316768097272 11.7305347239413 11.9540910861777 11.8151972097762
prss52 6.11558342163643 5.88635772287302 6.2938617700238 5.97610621935063 10.7247154788643 10.9118784228358 9.84120490365156 10.1583612779867
trim36 9.27918833983371 8.74622606854287 9.51173779364265 8.99377086258641 13.5234749789265 13.4966203885773 13.400831515018 13.299558424519
zdhhc19 7.43447066160455 6.7260467110782 7.53424470250598 7.23562168236215 11.9549675698553 11.7768367299254 11.5413304744678 11.0038746792135
rhobtb3 7.70900448694664 7.27389272060511 7.01689727062569 7.13993989267597 12.1816038546044 12.0279197709331 10.9482682105745 11.2569612355858
gm10058 7.97841001959186 7.26958179055273 8.16910785290342 7.51120006757467 11.9639745295784 11.6993113153184 12.3481623552515 12.7363569223729
lrrc52 5.99908385592315 5.79434163249353 6.64561117383305 6.45768608368923 10.5765499795182 10.6788434065065 10.5271728660178 10.0775467804686
cpa5 5.88482989661357 5.78160293007534 6.29180352853377 6.10881857729123 10.5352066412848 10.5115421136951 10.1618050307079 10.0823476946727
ropn1 9.47443693423178 8.98081202909932 9.1580969719674 9.15046587663356 13.4635632041273 13.4646233841531 12.7696915832014 13.3114012825631
spata3 8.00530981760498 7.82088423530653 7.98757814855394 7.83227774004453 12.2749549364183 12.1270091598607 12.1822333982859 12.098958133375
spz1 9.26202693152486 8.81575124364712 9.29377554708224 9.03887905220297 13.3227694462065 13.2801926913415 13.6199838162533 13.7224971490718
av320801 7.6052126467782 7.25838251101177 7.14155686628346 6.93319024692163 11.4301681420945 11.6822473092558 11.4134190868915 11.3373793520746
fam166a 8.05516830898124 7.36249098884682 7.9936142353987 7.79914351495698 12.3959972402679 12.3513694109306 11.9910865168425 12.0596213145057
dscc1 7.10598278743789 6.8717263166593 5.19386340449836 5.30335728487509 11.5876259134691 11.4347203694578 9.81248131834669 10.4103169493624
ttc39a 7.98941824080018 7.36833272870581 7.89701503926579 7.28799915557447 12.1890921946729 12.1840295062511 11.8575814490175 11.8621284922232
iqcf3 9.30510229862163 8.69281493588156 9.17727447757971 8.58638824212839 13.1852883454954 13.1061110884207 13.3764581942926 13.382460385611
spanxn4 7.63596010057745 7.09282870260502 7.53959124659478 6.9705909284494 11.6217069816472 11.5985421297836 11.0695456793018 11.7374467546028
cst13 6.85686626882608 6.22382160396865 6.7365022987704 6.96588806414058 11.2152732833991 11.2214122247319 10.1051910287342 10.927925156235
txndc8 8.38484128574534 7.96494038537878 7.87730736236856 8.07164459086095 12.8867222314034 12.8144530291387 11.4268679362787 11.99417205373
phlpp1 7.6317180217558 7.34810717321405 7.54306340914971 7.28313897221894 11.850402455329 11.9299652027207 11.5805831215465 10.9563202049527
sqrdl 9.02138300007944 8.56550658653213 9.24300791392533 8.67522259278215 13.2013954920954 13.1704486792551 13.046200743804 12.9169128395009
ccdc63 8.03166905601695 7.54490845675609 8.36598561421855 8.03977076206028 12.2330794354022 12.160790935293 12.2743107191947 12.0007344515219
morn3 7.23291769767106 7.00656928926864 6.5703700622011 6.62634325539831 11.6220404532031 11.5228240879535 10.8939579494459 10.7374389822342
tepp 7.29046804669807 6.79318103732784 6.93727392907408 6.40016867608644 11.5476141984673 11.4898226396313 10.7520970416407 10.8883346331421
ccdc70 6.70517305292131 6.68874664341318 6.64484079222942 6.5159503848538 11.2759497759938 11.2350331842875 10.6714088289393 10.3410856042508
aldoart2 8.57976276663096 7.95483865439772 8.39139302203578 8.04465607452392 12.6803373575844 12.3874970731655 12.5464569178503 12.3941475035168
proca1 8.2905025220716 7.76403037249479 8.13499322060681 7.72229096845787 12.5698499346024 12.4608400077417 12.0656950622034 12.0638514316026
aqp7 7.51101221632955 6.98464220421652 8.17983665161966 7.82209607343227 11.8869004591241 11.8579261275006 11.7845673885504 11.9565630878981
samd4 8.12155969108415 7.43570915667532 8.61699907633523 8.15506076178951 12.308648480317 12.2511515975718 12.3819109004236 12.0919255786224
spaca1 8.97189087404267 8.79863329300459 8.6528162154821 7.9504145163992 12.9271386686606 12.8676446369581 12.9149218772222 12.8587919934473
hist1h4a 4.78129637263958 4.55321329217429 5.34694148688788 5.33001701837313 9.21615271166202 9.04775673116213 9.83193904546379 9.59032588036459
rnf151 9.45611927729412 8.81571825481274 9.14294932254535 8.96333332322926 13.7067694815373 13.5839941078299 13.0903374822761 13.0277762353507
theg 7.85362920057505 7.53251405458443 7.94796564661985 8.03392512839755 12.0782710626722 12.0167772526155 11.9428341611187 12.2488220063836
rpgr 5.36910661526839 5.17057037082371 4.95965333493031 4.8133060089263 9.24751912519778 9.47131976989586 9.21644642652658 8.51814590209398
sgms2 7.63194098979383 7.12898307370401 7.27759014351409 7.13697627708123 11.9434035636458 11.8587804378488 11.1736212460559 10.9228806401981
otub2 8.3573030272514 8.13801032721376 8.32738668040262 8.2194280060361 12.5758879209847 12.6677284664251 12.0474436947971 12.3435881679947
acot10 8.06335292509751 7.71658524987821 7.54951019139643 6.94304495436594 12.312979209775 12.3322498032006 11.582332147177 11.593509005816
akap1 8.38660809339989 7.89050310408265 8.45072942329439 7.99488833919283 12.4579728247419 12.3238742363079 12.4356786353461 12.3648146409751
akap3 9.71114017214315 9.20940057871564 10.6390461613126 9.60794587023069 13.6827504087227 13.6717143147714 14.0639315049603 14.1118333704385
hils1 9.82382724902965 9.35873754657199 9.61745671346578 9.2809057611022 13.9576624499913 13.9485333178729 13.3589484114132 13.5439242445863
samt4 5.15158784482568 5.03048111239604 4.5725045709899 4.57043390507403 10.1054698003422 10.3486506069733 7.03629843669708 8.64235993126799
fam229a 9.08196467785283 8.49953874096954 8.10467784750027 8.48638608761638 12.8895062988314 12.7468334441017 12.0483012423693 12.5351503115406
spag4 8.42352483136801 7.88462353435579 8.50522461001174 8.06580050848277 12.5146812384184 12.394709983962 12.2652902832238 12.5895434175976
nipsnap3a 7.7332923215101 7.46122136247848 7.10316986303514 6.86717730597641 12.1256112254341 12.1307505376289 11.0220977828721 11.2301226188376
cdrt4 8.45338102491096 8.02618995358966 7.89017584569738 7.73714674793274 12.5356240152779 12.5142757019136 11.2490771691893 11.9263863256043
izumo1 8.2888426913288 7.81409615717492 8.04431454899274 7.68377423320359 12.5885648403028 12.3801059295557 11.8935173516471 11.9564006597523
lrrc74 6.34737410463767 5.85364785641922 5.91321955385686 5.88882173794836 9.89516204080964 9.79603709214221 10.2129973605829 10.3507999504532
cdyl 7.98721816110637 7.75170653919007 8.19665820135058 7.77928619252334 12.0294439256455 11.9927015752477 12.010396910036 11.8171882025333
spata21 9.25605653362568 8.67436156499738 9.73167606460989 9.11821948834314 13.2766306998674 13.2374046127753 13.3744345600713 13.2948429853947
micalcl 7.43679609054999 6.70874680431151 7.5574982346169 6.85451174228844 11.6033493034115 11.2887456226266 11.5325479721851 10.8935290555642
zbtbd6 10.9587564044642 11.150379621298 10.8596628547432 10.5777466193289 6.56122436178571 6.577467814273 7.45706476660873 6.92301692626621
tssk6 8.10490446394773 7.73686580661594 7.74680641125047 7.72435878881114 11.8032017092489 11.787373190132 11.1163135830296 11.7992307267464
bbx 6.91064750917999 6.90269909668036 7.52218562409182 7.38261458752916 11.2707978104302 11.3651084994651 11.3878412116091 10.9115683359134
clip4 8.44167764226561 7.95054102497827 8.49094017383444 7.49227884007848 12.343377630128 12.2847313807943 12.6727556870271 12.3493117632321
actl7a 8.89100272814189 8.11008099247728 8.86978813376112 8.79734219502723 12.9395637595552 12.9592975118929 12.8498147357697 12.8560163276611
oaz3 9.27325238010083 8.8487378852687 9.66044533050258 9.22106415584331 13.2192742711809 13.1696596481625 13.4824729543521 13.6106054280949
sun5 8.06342688998302 7.75465549982755 8.13353416413667 7.44195921477863 12.2799592585019 12.2174819895628 11.9416905781798 11.8419036762499
il31 7.62488063213599 7.4536748300733 6.50092905644113 6.17365743768439 11.7163985536349 11.6992277814736 11.0246101811445 11.0746903618672
actg2 8.03576433027143 7.64549129984047 8.12555040212207 7.81481828870122 12.437206262474 12.3467005407562 11.8632778840649 11.8779060073919
spert 8.48675595413558 8.01114583878882 8.49876713590117 8.05180949754911 12.4659524226048 12.2557020643413 12.3341207911213 12.4262413398793
tmem225 8.42844105649338 8.09301555282519 9.41997309256829 9.21098700944081 12.8877664436358 12.975254695576 13.0448611844584 13.0835234943737
cypt3 8.32123674877865 8.06286226548208 8.18653592835371 8.11881546353579 12.203818475329 12.2926334091204 11.4641619457164 12.1156326878802
nupr1l 8.97330168919279 8.68517042072082 8.7164509960194 8.76576282823296 12.8236027950657 12.732517567784 12.2305042950185 12.706260039957
atp1a4 7.82067240174799 7.38401062129076 7.84915039639183 7.18252552844178 11.884784161214 11.8410978566039 11.6096971671138 11.4808853979561
gm21283 6.3166284102195 5.87497467635847 5.18869114326781 5.3384954175528 10.7179584143902 10.7582431704109 8.69387176188111 9.35546263584526
izumo2 8.57780341595847 8.17875479076501 7.23944143511656 6.94432149896647 12.5783545135062 12.4973915732532 11.6968661382867 11.6990388490229
atl3 8.42550011343403 8.06500105041983 8.47480023878421 8.2669969580411 12.3405341723233 12.3396679705486 12.219339322307 12.439434809023
